"plugin","sites","pct"
"PopularFX Website Templates","22","0.7"
"Avada Builder","21","0.67"
"Qi Addons for Elementor","21","0.67"
"Blaze Demo Importer","21","0.67"
"Sticky Menu (or Anything!) on Scroll","21","0.67"
"PublishPress Capabilities","21","0.67"
"Theme My Login","21","0.67"
"Quiz Maker","21","0.67"
"Export media with selected content","21","0.67"
"WP Post Author","21","0.67"
"User Submitted Posts","21","0.67"
"Image Prioritizer","21","0.67"
"Metricool","21","0.67"
"Weglot Translate","21","0.67"
"Perfmatters","21","0.67"
"Aruba HiSpeed Cache","21","0.67"
"Paid Member Subscriptions","21","0.67"
"All-in-One WP Migration With Import","21","0.67"
"NitroPack","21","0.67"
"Envira Gallery Lite","21","0.67"
"reCaptcha by BestWebSoft","21","0.67"
"Ultimate Addons for Elementor Pro","20","0.64"
"Widget Importer & Exporter","20","0.64"
"Bing Webmaster Url Submission","20","0.64"
"Folders","20","0.64"
"Prime Slider","20","0.64"
"Widget Options","20","0.64"
"Post Duplicator","20","0.64"
"All-in-One Video Gallery","20","0.64"
"MainWP Child","20","0.64"
"Simple Custom Post Order","20","0.64"
"Popup Box","20","0.64"
"User Switching","20","0.64"
"Insert PHP Code Snippet","20","0.64"
"Edit Author Slug","20","0.64"
"Co-Authors Plus","20","0.64"
"Stackable - Gutenberg Blocks","20","0.64"
"Live News","20","0.64"
"Custom Login Page Customizer","20","0.64"
"Screen Reader Free","20","0.64"
"WP Popular Posts","20","0.64"
"WP Bulk Delete","20","0.64"
"String Locator","20","0.64"
"Simple Social Buttons","20","0.64"
"Mobile Menu","19","0.61"
"WP 2FA - Two-factor authentication for WordPress","19","0.61"
"Ditty","19","0.61"
"YITH WooCommerce Wishlist","19","0.61"
"WP Date and Time Shortcode","19","0.61"
"Event Tickets","19","0.61"
"Easy Google Fonts","19","0.61"
"Resize Image After Upload","19","0.61"
"WebsiteVoice","19","0.61"
"Popup Builder","19","0.61"
"WP ULike","19","0.61"
"WPML SEO","19","0.61"
"Icegram Express - Email Subscribers, Newsletters and Marketing Automation Plugin","19","0.61"
"Simple Share Buttons Adder","19","0.61"
"Simple Lightbox","19","0.61"
"No Category Base (WPML)","19","0.61"
"Headers Security Advanced & HSTS WP","19","0.61"
"Ultimate Blocks","19","0.61"
"PrettyLinks","19","0.61"
"JNews - Weather","19","0.61"
"Fluent Forms Pro Add On Pack","19","0.61"
"Download Plugin","19","0.61"
"Kadence Blocks - PRO Extension","19","0.61"
"WP Visitor Statistics (Real Time Traffic)","18","0.58"
"JNews - Detail Category Customizer","18","0.58"
"Element Pack Pro","18","0.58"
"iubenda | All-in-one Compliance for GDPR / CCPA Cookie Consent + more","18","0.58"
"Featured Images in RSS for Mailchimp & More","18","0.58"
"UsersWP","18","0.58"
"Yoast SEO: Local","18","0.58"
"WP Carousel","18","0.58"
"Login Logout Menu","18","0.58"
"WPHindi - Type in Hindi in WordPress","18","0.58"
"Crowdsignal Dashboard - Polls, Surveys & more","18","0.58"
"YotuWP - YouTube Gallery","18","0.58"
"Menu Image","18","0.58"
"JetSearch","18","0.58"
"WP-DBManager","18","0.58"
"Hummingbird","18","0.58"
"kk Star Ratings","18","0.58"
"AnWP Post Grid and Post Carousel Slider for Elementor","18","0.58"
"Payment Plugins for Stripe WooCommerce","18","0.58"
"Pods - Custom Content Types and Fields","18","0.58"
"Brevo - Email, SMS, Web Push, Chat, and more.","18","0.58"
"WP All Import Pro","18","0.58"
"Social Snap Lite","18","0.58"
"AI Power: Complete AI Pack","18","0.58"
"Remove Footer Credit","18","0.58"
"Jetpack Search","18","0.58"
"wpDataTables - Tables & Table Charts","18","0.58"
"Penci Soledad Demo Importer","18","0.58"
"Molongui Authorship","18","0.58"
"Heartbeat Control by WP Rocket","18","0.58"
"iframe","18","0.58"
"Shortcoder","17","0.54"
"ThemeREX Addons","17","0.54"
"Pages with category and tag","17","0.54"
"Thim Core","17","0.54"
"Ninja Tables","17","0.54"
"Feeds for TikTok (TikTok feed, video, and gallery plugin)","17","0.54"
"WP to Buffer","17","0.54"
"Simple Custom CSS","17","0.54"
"Easy Text-to-Speech","17","0.54"
"PDFjs Viewer - Embed PDFs","17","0.54"
"FluentCRM - Marketing Automation For WordPress","17","0.54"
"LoginWP (Formerly Peter's Login Redirect)","17","0.54"
"Filester - File Manager Pro","17","0.54"
"JetBlog For Elementor","17","0.54"
"Depicter","17","0.54"
"Optimize Database after Deleting Revisions","17","0.54"
"Google Analytics for WooCommerce","17","0.54"
"WP Ghost Lite","17","0.54"
"Real Voice","17","0.54"
"ThemeGrill Demo Importer","17","0.54"
"Google Analytics Dashboard for WP (GADWP)","17","0.54"
"BetterDocs","17","0.54"
"Perfecty Push Notifications","17","0.54"
"WP Hide & Security Enhancer","17","0.54"
"Spice Starter Sites","17","0.54"
"one.com","17","0.54"
"TemplateSpare – Build Your Website in Minutes, Not Months","17","0.54"
"Kadence Pro - Premium addon for the Kadence Theme","17","0.54"
"Disable Admin Notices Individually","17","0.54"
"MailerLite - Signup forms (official)","17","0.54"
"Blog Designer Pack","17","0.54"
"JNews - Auto Load Next Post","16","0.51"
"WordPress MCP","16","0.51"
"Thim Elementor Kit","16","0.51"
"Category Posts Widget","16","0.51"
"ThemeREX Updater","16","0.51"
"Meta Tag Manager","16","0.51"
"Play.ht","16","0.51"
"Export All URLs","16","0.51"
"Object Cache Pro","16","0.51"
"Penci Review","16","0.51"
"Premium Starter Templates","16","0.51"
"Advanced Ads – Google AdSense In-feed Placement","16","0.51"
"Embed PDF Viewer","16","0.51"
"Profile Builder","16","0.51"
"JNews - Frontend Translation","16","0.51"
"LearnPress - Export/Import Courses","16","0.51"
"PublishPress Future","16","0.51"
"Poll Maker","16","0.51"
"Mammoth .docx converter","16","0.51"
"Crocoblock Wizard","16","0.51"
"Password Protected","16","0.51"
"CartFlows","16","0.51"
"Monetag Official","16","0.51"
"Easy Accordion","16","0.51"
"FeedbackWP - Rate My Post - WP Rating System","16","0.51"
"AI Text to Speech","16","0.51"
"Blubrry PowerPress","16","0.51"
"Duplicator Pro","16","0.51"
"FooGallery","16","0.51"
"LearnPress - Course Wishlist","16","0.51"
"Print My Blog","16","0.51"
"SEO Optimized Images","16","0.51"
"User Registration","15","0.48"
"Duplicate Menu","15","0.48"
"WP Events Manager","15","0.48"
"WP Mail Logging","15","0.48"
"WPeMatico","15","0.48"
"Page scroll to id","15","0.48"
"LearnPress - Certificates","15","0.48"
"Header and Footer Scripts","15","0.48"
"AppMySite","15","0.48"
"Simple Banner","15","0.48"
"Temporary Login Without Password","15","0.48"
"IONOS Performance","15","0.48"
"Advance Custom HTML","15","0.48"
"Permalink Manager Lite","15","0.48"
"Migrate Guru","15","0.48"
"Responsive Lightbox & Gallery","15","0.48"
"Magic Content & CTA Box Builder","15","0.48"
"Tutor LMS Pro","15","0.48"
"The HostGator Plugin","15","0.48"
"Performance Cache","15","0.48"
"NinjaFirewall (WP Edition)","15","0.48"
"Beaver Builder Plugin (Lite Version)","15","0.48"
"JetBlocks For Elementor","15","0.48"
"Kubio","15","0.48"
"Kadence Blocks — Page Builder Toolkit for Gutenberg Editor","15","0.48"
"WP Last Modified Info","15","0.48"
"Posts Like Dislike","15","0.48"
"Social Media Auto Publish","15","0.48"
"AccessibleWP - Accessibility Toolbar","15","0.48"
"Colibri Page Builder","15","0.48"
"Disable XML-RPC-API","15","0.48"
"WP Responsive Recent Post Slider","15","0.48"
"Imsanity","15","0.48"
"Site Reviews","15","0.48"
"WooCommerce Cart Abandonment Recovery","15","0.48"
"WP Robots Txt","15","0.48"
"MetaSlider Slideshow","15","0.48"
"WP Import Export Lite","15","0.48"
"Tutor LMS Elementor Addons","15","0.48"
"Cyr-To-Lat","15","0.48"
"Yoast Test Helper","15","0.48"
"Advanced Custom Fields Multilingual","15","0.48"
"WP Downgrade | Specific Core Version","15","0.48"
"Responsive Accordion And Collapse","15","0.48"
"Conditional Fields for Contact Form 7","14","0.45"
"AIOSEO - Image SEO","14","0.45"
"Real-Time Find and Replace","14","0.45"
"Wp Social","14","0.45"
"WP Chat App","14","0.45"
"Complianz Privacy Suite (GDPR/CCPA) premium","14","0.45"
"KIA Subtitle","14","0.45"
"StarBox","14","0.45"
"Google XML Sitemaps Generator","14","0.45"
"Radio Player","14","0.45"
"Newsletter - Import/Export","14","0.45"
"WP Meta and Date remover","14","0.45"
"Statify","14","0.45"
"Sphere Post Views","14","0.45"
"Carousel Slider Block","14","0.45"
"Advanced Ads – Tracking","14","0.45"
"MaxButtons","14","0.45"
"SSL Insecure Content Fixer","14","0.45"
"WP Table Builder","14","0.45"
"Penci Recipe","14","0.45"
"Automatic Translate Addon For Loco Translate","14","0.45"
"Open Graph and Twitter Card Tags","14","0.45"
"SureCart","14","0.45"
